"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/24/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/21/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/20/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/19/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/18/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/17/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/14/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/13/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/12/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/11/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
